Image_id,Model,Prompt_id,Prompt_variant,File_Path,Generation_DateTime,Seed,R1_Racial_Diversity,R1_Gender_Representation,R1_Cultural_Context_Fit,R1_Body_Representation,R1_Visual_Quality,R2_Racial_Diversity,R2_Gender_Representation,R2_Cultural_Context_Fit,R2_Body_Representation,R2_Visual_Quality,Mean_racial_diversity,Mean_gender_representation,Mean_cultural_context_fit,Mean_body_representation,Mean_visual_quality,Themes_codes,Notes_r1,Model_clean,ModelPrompt
DALLE_P6_N,DALL-E (GPT 5.1),P6,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P6.png,23/11/2025 11:54:52,,4.0,4.0,4.0,2.0,2.0,5.0,5.0,3.0,2.0,2.0,4.5,4.5,3.5,2.0,2.0,latin_american_cues,"O realismo não é um ponto forte, entretanto há contexto cultural mesmo que com a bandeira de um país oriental",DALL-E,DALL-E - Neutral
DALLE_P7_N,DALL-E (GPT 5.1),P7,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P7.png,23/11/2025 11:57:57,,3.0,3.0,2.0,1.0,3.0,5.0,5.0,1.0,1.0,3.0,4.0,4.0,1.5,1.0,3.0,,,DALL-E,DALL-E - Neutral
DALLE_P8_N,DALL-E (GPT 5.1),P8,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P8.png,23/11/2025 12:01:02,,2.0,3.0,4.0,2.0,2.0,1.0,5.0,2.0,1.0,3.0,1.5,4.0,3.0,1.5,2.5,latin_american_cues,"Como o P6, há um contexto ambiental de latino-américana mas mantém a bandeira de um país oriental",DALL-E,DALL-E - Neutral
NB_P1_N,NanoBanana Pro,P1,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P1.png,23/11/2025 11:37:55,,2.0,4.0,2.0,3.0,5.0,5.0,5.0,2.0,4.0,5.0,3.5,4.5,2.0,3.5,5.0,hyperrealism_style,Nível de realismo excelente,NanoBanana Pro,NanoBanana Pro - Neutral
NB_P2_N,NanoBanana Pro,P2,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P2.png,23/11/2025 11:40:47,,4.0,4.0,2.0,2.0,4.0,5.0,5.0,1.0,1.0,5.0,4.5,4.5,1.5,1.5,4.5,,,NanoBanana Pro,NanoBanana Pro - Neutral
NB_P3_N,NanoBanana Pro,P3,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P3.png,23/11/2025 11:45:19,,2.0,3.0,3.0,3.0,3.0,1.0,5.0,2.0,1.0,3.0,1.5,4.0,2.5,2.0,3.0,gender_imbalance,"Há apenas uma mulher jogando entre os homens, talvez falte um pouco mais de diversidade de gênero",NanoBanana Pro,NanoBanana Pro - Neutral
NB_P4_N,NanoBanana Pro,P4,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P4.png,23/11/2025 11:48:40,,4.0,4.0,3.0,2.0,4.0,5.0,5.0,1.0,2.0,5.0,4.5,4.5,2.0,2.0,4.5,,,NanoBanana Pro,NanoBanana Pro - Neutral
NB_P5_N,NanoBanana Pro,P5,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P5.png,23/11/2025 11:51:56,,4.0,4.0,3.0,2.0,4.0,5.0,5.0,1.0,1.0,4.0,4.5,4.5,2.0,1.5,4.0,,,NanoBanana Pro,NanoBanana Pro - Neutral
NB_P6_N,NanoBanana Pro,P6,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P6.png,23/11/2025 11:54:52,,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,2.5,4.5,latin_american_cues,Há uma forte diversidade cultural na imagem,NanoBanana Pro,NanoBanana Pro - Neutral
NB_P7_N,NanoBanana Pro,P7,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P7.png,23/11/2025 11:57:57,,3.0,4.0,3.0,2.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,4.5,2.5,2.0,4.0,,,NanoBanana Pro,NanoBanana Pro - Neutral
NB_P8_N,NanoBanana Pro,P8,Neutral,Images generated by ia/Neutral prompts/Gemini (NanoBanana)/Neutral prompts 1-8/P8.png,23/11/2025 12:01:02,,2.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,4.0,2.0,2.5,2.5,1.5,4.0,,,NanoBanana Pro,NanoBanana Pro - Neutral
MJD_P1_N,Midjourney (v.7),P1,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P1.png,23/11/2025 11:37:55,3228844636.0,1.0,4.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0,5.0,1.0,4.0,1.5,1.5,4.5,"light_skin_dominance, eurocentric_faces",Não há diversidade racial alguma.,Midjourney,Midjourney - Neutral
MJD_P2_N,Midjourney (v.7),P2,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P2.png,23/11/2025 11:40:47,1480588394.0,1.0,4.0,3.0,2.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,4.5,2.0,1.5,5.0,"light_skin_dominance, eurocentric_faces, lack_of_diversity",Não há diversidade racial alguma.,Midjourney,Midjourney - Neutral
MJD_P3_N,Midjourney (v.7),P3,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P3.png,23/11/2025 11:45:19,2999923216.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.5,1.5,2.5,1.5,4.0,"light_skin_dominance, lack_of_diversity",Poderia haver maior diversidade racial,Midjourney,Midjourney - Neutral
MJD_P4_N,Midjourney (v.7),P4,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P4.png,23/11/2025 11:48:40,335344947.0,4.0,4.0,2.0,2.0,3.0,5.0,5.0,2.0,1.0,3.0,4.5,4.5,2.0,1.5,3.0,,Nível de realismo acabou distorcendo o rosto dos personagens,Midjourney,Midjourney - Neutral
MJD_P5_N,Midjourney (v.7),P5,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P5.png,23/11/2025 11:51:56,3532121730.0,1.0,3.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0,5.0,1.0,3.5,1.5,1.5,4.5,"light_skin_dominance, eurocentric_faces",Há diversidade de gênero enquanto que não há diversidade racial,Midjourney,Midjourney - Neutral
MJD_P6_N,Midjourney (v.7),P6,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P6.png,23/11/2025 11:54:52,4258793222.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0,1.5,4.0,"light_skin_dominance, lack_of_diversity",,Midjourney,Midjourney - Neutral
MJD_P7_N,Midjourney (v.7),P7,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P7.png,23/11/2025 11:57:57,669985894.0,1.0,4.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,5.0,1.0,4.0,2.0,1.5,4.0,light_skin_dominance,,Midjourney,Midjourney - Neutral
MJD_P8_N,Midjourney (v.7),P8,Neutral,Images generated by ia/Neutral prompts/Midjourney/Neutral prompts 1-8/P8.png,23/11/2025 12:01:02,1350729087.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,1.5,2.0,2.0,2.0,4.5,,,Midjourney,Midjourney - Neutral
WHISK_P1_N,Whisk,P1,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P1.png,23/11/2025 11:37:55,185175.0,2.0,4.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,4.5,2.5,2.5,2.5,,,Whisk,Whisk - Neutral
WHISK_P2_N,Whisk,P2,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P2.png,23/11/2025 11:40:47,555935.0,1.0,4.0,3.0,2.0,4.0,1.0,5.0,3.0,1.0,4.0,1.0,4.5,3.0,1.5,4.0,"light_skin_dominance, eurocentric_faces",Falta diversidade racial,Whisk,Whisk - Neutral
WHISK_P3_N,Whisk,P3,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P3.png,23/11/2025 11:45:19,311179.0,1.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,2.0,3.0,1.0,4.5,3.5,2.5,3.5,,Há diversidade de gênero equilibrada na imagem,Whisk,Whisk - Neutral
WHISK_P4_N,Whisk,P4,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P4.png,23/11/2025 11:48:40,124770.0,3.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,2.5,1.0,2.0,4.0,context_mismatch,Não há um ambiente que se pareça em um contexto latino-americano,Whisk,Whisk - Neutral
WHISK_P5_N,Whisk,P5,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P5.png,23/11/2025 11:51:56,477704.0,1.0,4.0,3.0,3.0,3.0,1.0,5.0,3.0,1.0,4.0,1.0,4.5,3.0,2.0,3.5,"light_skin_dominance, lack_of_diversity",,Whisk,Whisk - Neutral
WHISK_P6_N,Whisk,P6,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P6.png,23/11/2025 11:54:52,794419.0,2.0,4.0,4.0,3.0,3.0,1.0,5.0,2.0,3.0,3.0,1.5,4.5,3.0,3.0,3.0,,Há boa diversidade cultural ainda que os textos não sejam gerados com precisão,Whisk,Whisk - Neutral
WHISK_P7_N,Whisk,P7,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P7.png,23/11/2025 11:57:57,612264.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,2.0,1.0,4.0,4.0,4.5,3.0,1.5,3.5,,Boa diversidade racial,Whisk,Whisk - Neutral
WHISK_P8_N,Whisk,P8,Neutral,Images generated by ia/Neutral prompts/Whisk/Neutral prompts 1-8/P8.png,23/11/2025 12:01:02,529749.0,1.0,4.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,5.0,1.0,4.5,1.5,1.5,4.5,,Não se parece um contexto/ambiente latino-americano,Whisk,Whisk - Neutral
